,year_start,total_production_hl,dop_production_hl,igp_production_hl,year_variety_production_hl,non_certified_production_hl,vineyard_area_ha
year_start,1.0,0.03129140370206032,0.05833919654038697,0.1029734810931509,0.03647965772449445,-0.3016265349328721,-0.050334286629967445
total_production_hl,0.03129140370206032,1.0,0.7731543223773898,0.5669861080128816,0.1127874125500629,0.36255834227506933,0.8719039770256557
dop_production_hl,0.05833919654038697,0.7731543223773898,1.0,-0.030250100093827777,-0.12748176861922697,-0.04198968846159885,0.8387421858064572
igp_production_hl,0.1029734810931509,0.5669861080128816,-0.030250100093827777,1.0,0.32739783672560385,0.3024180655671136,0.25582002800156184
year_variety_production_hl,0.03647965772449445,0.1127874125500629,-0.12748176861922697,0.32739783672560385,1.0,0.13833832797415888,0.12011652386173392
non_certified_production_hl,-0.3016265349328721,0.36255834227506933,-0.04198968846159885,0.3024180655671136,0.13833832797415888,1.0,0.263804738581056
vineyard_area_ha,-0.050334286629967445,0.8719039770256557,0.8387421858064572,0.25582002800156184,0.12011652386173392,0.263804738581056,1.0
